slice_region,region_id,region_area
4-24,blood_280,1811.5
4-25,blood_281,958.5
4-26,blood_282,184.5
4-27,blood_283,404.0
4-28,blood_284,416.5
4-29,blood_285,791.0
4-30,blood_287,1045.5
4-31,blood_293,690.0
4-32,blood_296,655.5
4-33,blood_298,730.0
4-34,blood_299,770.5
4-35,blood_301,642.5
4-36,blood_307,1029.0
4-37,blood_310,481.0
4-38,blood_311,481.5
4-39,blood_314,2207.5
4-40,blood_315,166.0
4-41,blood_316,779.5
4-42,blood_319,185.5
5-0,blood_257,860.5
5-1,blood_261,4401.5
5-2,blood_262,192.0
5-3,blood_272,219.0
5-4,blood_277,674.0
5-5,blood_279,3463.0
5-6,blood_286,2713.0
5-7,blood_288,275.0
5-8,blood_289,212.0
5-9,blood_290,570.5
5-10,blood_291,272.0
5-11,blood_292,1931.5
5-12,blood_294,418.5
5-13,blood_295,648.5
5-14,blood_297,440.0
5-15,blood_300,1843.0
5-16,blood_302,539.5
5-17,blood_303,511.5
5-18,blood_304,3073.5
5-19,blood_305,3725.0
5-20,blood_306,1720.0
5-21,blood_308,188.0
5-22,blood_309,1008.5
5-23,blood_312,1867.0
5-24,blood_313,525.5
5-25,blood_317,274.0
5-26,blood_318,750.5
5-27,blood_320,259.0
5-28,blood_321,484.0
5-29,blood_322,345.0
5-30,blood_323,1078.5
5-31,blood_324,367.5
5-32,blood_325,527.0
5-33,blood_326,1589.0
6-0,blood_183,286.0
6-1,blood_184,1199.0
6-2,blood_185,541.5
6-3,blood_186,326.0
6-4,blood_187,493.0
6-5,blood_188,3190.0
6-6,blood_189,344.0
6-7,blood_190,224.0
6-8,blood_191,7809.0
6-9,blood_192,376.5
6-10,blood_193,973.5
6-11,blood_194,2077.5
6-12,blood_195,627.0
6-13,blood_196,3927.0
6-14,blood_197,989.0
6-15,blood_198,404.0
6-16,blood_199,1930.0
6-17,blood_200,607.0
6-18,blood_201,132.0
6-19,blood_202,520.5
6-20,blood_203,308.0
6-21,blood_204,870.5
6-22,blood_205,8577.5
6-23,blood_206,284.0
6-24,blood_207,528.0
6-25,blood_208,404.0
6-26,blood_209,410.0
6-27,blood_210,440.5
6-28,blood_211,430.5
6-29,blood_212,764.5
6-30,blood_213,333.5
6-31,blood_214,232.5
6-32,blood_215,241.5
6-33,blood_216,371.5
6-34,blood_217,385.0
6-35,blood_218,318.0
6-36,blood_219,239.0
6-37,blood_220,748.0
6-38,blood_222,699.0
6-39,blood_223,517.5
6-40,blood_224,807.0
6-41,blood_226,536.0
6-42,blood_227,870.0
6-43,blood_228,502.0
6-44,blood_229,626.5
6-45,blood_231,272.0
6-46,blood_232,702.5
6-47,blood_233,3387.0
6-48,blood_234,466.0
6-49,blood_235,690.5
6-50,blood_237,627.5
6-51,blood_238,1112.0
6-52,blood_239,6459.0
6-53,blood_240,148.0
6-54,blood_241,593.0
6-55,blood_243,136.0
6-56,blood_244,158.5
6-57,blood_250,654.5
6-58,blood_251,261.0
6-59,blood_252,136.0
6-60,blood_253,638.0
6-61,blood_254,943.5
6-62,blood_256,1798.0
6-63,blood_258,564.5
6-64,blood_259,455.0
6-65,blood_264,1540.5
6-66,blood_266,267.5
7-0,blood_100,801.0
7-1,blood_101,11982.0
7-2,blood_102,1149.5
7-3,blood_103,6786.0
7-4,blood_104,414.0
7-5,blood_105,2735.0
7-6,blood_106,951.5
7-7,blood_107,184.5
7-8,blood_108,627.0
7-9,blood_109,136.0
7-10,blood_110,619.5
7-11,blood_111,907.0
7-12,blood_112,929.5
7-13,blood_113,486.5
7-14,blood_114,277.5
7-15,blood_115,271.5
7-16,blood_116,1239.0
7-17,blood_117,640.5
7-18,blood_118,2814.5
7-19,blood_119,8849.0
7-20,blood_120,743.0
7-21,blood_121,1068.0
7-22,blood_122,476.5
7-23,blood_123,416.0
7-24,blood_124,689.5
7-25,blood_125,552.5
7-26,blood_126,751.0
7-27,blood_127,529.5
7-28,blood_128,136.0
7-29,blood_129,295.0
7-30,blood_130,608.0
7-31,blood_131,765.5
7-32,blood_132,272.0
7-33,blood_133,240.5
7-34,blood_134,324.0
7-35,blood_135,312.0
7-36,blood_136,2469.5
7-37,blood_137,1183.0
7-38,blood_138,573.0
7-39,blood_139,204.0
7-40,blood_140,913.0
7-41,blood_141,372.0
7-42,blood_142,572.5
7-43,blood_143,529.5
7-44,blood_144,1157.5
7-45,blood_145,506.0
7-46,blood_146,258.0
7-47,blood_147,698.5
7-48,blood_148,6548.5
7-49,blood_149,501.0
7-50,blood_150,182.0
7-51,blood_151,493.0
7-52,blood_152,249.0
7-53,blood_153,136.0
7-54,blood_154,474.0
7-55,blood_155,213.0
7-56,blood_156,136.0
7-57,blood_157,791.0
7-58,blood_158,970.0
7-59,blood_159,396.5
7-60,blood_160,369.0
7-61,blood_161,412.5
7-62,blood_162,393.5
7-63,blood_163,183.0
7-64,blood_164,156.0
7-65,blood_165,266.0
7-66,blood_166,686.0
7-67,blood_167,607.0
7-68,blood_168,148.0
7-69,blood_169,2558.5
7-70,blood_170,878.0
7-71,blood_171,169.0
7-72,blood_172,363.0
7-73,blood_173,901.5
7-74,blood_174,1348.0
7-75,blood_175,510.0
7-76,blood_176,331.0
7-77,blood_177,426.5
7-78,blood_178,555.0
7-79,blood_179,227.0
7-80,blood_180,288.5
7-81,blood_181,179.5
7-82,blood_182,1800.5
8-0,blood_432,1501.0
8-1,blood_437,1575.5
8-2,blood_443,319.0
8-3,blood_445,292.5
8-4,blood_446,533.0
8-5,blood_451,503.0
8-6,blood_453,267.5
8-7,blood_459,9964.5
8-8,blood_460,319.0
8-9,blood_461,792.5
8-10,blood_473,903.0
8-11,blood_481,12300.5
8-12,blood_482,16851.0
8-13,blood_483,198.0
8-14,blood_487,662.0
8-15,blood_495,136.0
8-16,blood_506,890.5
8-17,blood_507,1043.5
8-18,blood_508,383.5
8-19,blood_510,3615.0
8-20,blood_511,960.5
8-21,blood_512,183.0
8-22,blood_519,673.5
8-23,blood_526,964.0
8-24,blood_534,179.0
8-25,blood_542,398.0
8-26,blood_545,251.5
8-27,blood_549,1080.0
8-28,blood_550,790.5
8-29,blood_555,321.0
8-30,blood_556,1585.5
8-31,blood_557,831.0
8-32,blood_563,781.5
8-33,blood_568,2755.0
8-34,blood_571,477.5
8-35,blood_573,136.0
8-36,blood_575,377.5
8-37,blood_576,3076.0
8-38,blood_577,335.0
8-39,blood_578,2190.0
8-40,blood_579,749.5
8-41,blood_581,194.5
8-42,blood_585,455.5
8-43,blood_586,528.0
8-44,blood_587,744.5
8-45,blood_588,215.5
8-46,blood_589,1611.5
8-47,blood_591,490.5
8-48,blood_592,477.5
8-49,blood_594,880.5
8-50,blood_595,221.5
8-51,blood_598,167.5
8-52,blood_599,164.5
8-53,blood_600,366.0
8-54,blood_603,224.5
8-55,blood_604,13356.5
8-56,blood_606,483.0
8-57,blood_607,1001.5
8-58,blood_608,444.0
8-59,blood_611,227.0
8-60,blood_614,256.5
8-61,blood_615,662.5
8-62,blood_617,346.0
8-63,blood_619,692.0
8-64,blood_620,1299.5
8-65,blood_622,496.0
8-66,blood_623,550.0
8-67,blood_626,583.5
8-68,blood_627,1250.5
8-69,blood_628,1086.5
8-70,blood_630,658.0
8-71,blood_631,148.0
8-72,blood_633,303.0
8-73,blood_636,368.0
8-74,blood_637,1221.5
8-75,blood_641,745.0
8-76,blood_642,288.5
8-77,blood_644,976.0
8-78,blood_651,2091.0
8-79,blood_655,826.5
8-80,blood_657,3357.5
8-81,blood_659,391.5
8-82,blood_661,359.5
8-83,blood_665,645.0
8-84,blood_666,148.0
8-85,blood_667,906.5
8-86,blood_671,8494.0
8-87,blood_672,2079.5
8-88,blood_673,370.0
8-89,blood_674,574.0
8-90,blood_675,1052.5
8-91,blood_676,148.0
8-92,blood_678,341.0
8-93,blood_679,506.5
8-94,blood_685,475.0
8-95,blood_687,1753.5
8-96,blood_688,314.5
8-97,blood_689,521.5
9-0,blood_532,970.5
9-1,blood_533,304.5
9-2,blood_535,159.5
9-3,blood_539,502.5
9-4,blood_540,145.0
9-5,blood_546,2760.0
9-6,blood_560,50750.0
9-7,blood_561,6985.5
9-8,blood_583,319.0
9-9,blood_584,653.5
9-10,blood_590,691.5
9-11,blood_593,405.5
9-12,blood_596,290.5
9-13,blood_597,331.0
9-14,blood_601,410.0
9-15,blood_602,1379.0
9-16,blood_605,1055.5
9-17,blood_609,1260.5
9-18,blood_610,826.0
9-19,blood_612,134.5
9-20,blood_613,678.0
9-21,blood_616,671.5
9-22,blood_618,383.5
9-23,blood_621,1422.0
9-24,blood_624,1561.0
9-25,blood_625,538.5
9-26,blood_629,663.5
9-27,blood_632,2668.5
9-28,blood_634,1166.5
9-29,blood_635,545.5
9-30,blood_638,801.0
9-31,blood_639,392.5
9-32,blood_640,2659.0
9-33,blood_643,1249.0
9-34,blood_645,1271.0
9-35,blood_646,383.0
9-36,blood_647,334.0
9-37,blood_648,578.0
9-38,blood_649,333.0
9-39,blood_650,940.0
9-40,blood_652,2963.5
9-41,blood_653,672.0
9-42,blood_654,1127.0
9-43,blood_656,138.0
9-44,blood_658,246.0
9-45,blood_660,570.5
9-46,blood_662,169.0
9-47,blood_663,128.0
9-48,blood_664,571.0
9-49,blood_668,608.0
9-50,blood_669,696.0
9-51,blood_670,955.0
9-52,blood_677,136.0
9-53,blood_680,342.0
9-54,blood_681,568.5
9-55,blood_682,136.0
9-56,blood_683,287.0
9-57,blood_684,513.0
9-58,blood_686,851.5
9-59,blood_690,461.5
9-60,blood_691,2646.0
9-61,blood_692,247.5
9-62,blood_693,411.5
9-63,blood_694,576.0
9-64,blood_695,189.0
9-65,blood_696,810.0
9-66,blood_697,326.0
9-67,blood_698,322.0
9-68,blood_699,290.0
9-69,blood_700,256.5
9-70,blood_701,384.5
9-71,blood_702,410.0
9-72,blood_703,322.0
9-73,blood_704,510.5
9-74,blood_705,180.5
9-75,blood_706,357.0
9-76,blood_707,676.5
9-77,blood_708,909.0
9-78,blood_709,201.5
9-79,blood_710,446.5
9-80,blood_711,329.5
9-81,blood_712,769.5
9-82,blood_713,177.0
9-83,blood_714,243.0
9-84,blood_715,439.0
9-85,blood_716,450.0
9-86,blood_717,904.0
9-87,blood_718,148.0
9-88,blood_719,321.0
9-89,blood_720,290.5
9-90,blood_721,156.0
9-91,blood_722,1269.0
9-92,blood_723,2641.5
9-93,blood_724,418.5
9-94,blood_725,1621.5
9-95,blood_726,721.0
9-96,blood_727,483.5
9-97,blood_728,413.0
9-98,blood_729,321.5
9-99,blood_730,618.0
9-100,blood_731,290.5
10-0,blood_328,904.0
10-1,blood_329,484.5
10-2,blood_330,275.0
10-3,blood_331,21052.5
10-4,blood_332,830.0
10-5,blood_334,176.0
10-6,blood_336,1555.5
10-7,blood_339,1619.0
10-8,blood_340,1058.5
10-9,blood_342,136.0
10-10,blood_343,136.0
10-11,blood_345,229.0
10-12,blood_346,52745.5
10-13,blood_349,515.0
10-14,blood_350,2370.5
10-15,blood_351,173.0
10-16,blood_355,174.0
10-17,blood_357,768.5
10-18,blood_358,687.5
10-19,blood_361,338.0
10-20,blood_363,309.5
10-21,blood_364,1063.5
10-22,blood_365,699.5
10-23,blood_368,136.0
10-24,blood_369,234.0
10-25,blood_370,158.5
10-26,blood_371,136.0
10-27,blood_373,2690.5
10-28,blood_374,174.0
10-29,blood_375,217.0
10-30,blood_376,323.5
10-31,blood_377,315.0
10-32,blood_381,455.5
10-33,blood_384,409.0
10-34,blood_385,432.5
10-35,blood_389,259.5
10-36,blood_394,1645.5
10-37,blood_395,230.5
10-38,blood_396,543.5
10-39,blood_397,1065.5
10-40,blood_398,674.5
10-41,blood_400,2886.5
10-42,blood_401,505.5
10-43,blood_404,299.0
10-44,blood_406,733.0
10-45,blood_407,289.5
10-46,blood_408,326.0
10-47,blood_410,619.0
10-48,blood_411,220.5
10-49,blood_414,353.5
10-50,blood_416,1264.5
10-51,blood_418,951.0
10-52,blood_419,636.0
10-53,blood_420,931.5
10-54,blood_422,269.0
10-55,blood_424,294.0
10-56,blood_425,793.5
10-57,blood_427,622.5
10-58,blood_428,136.0
10-59,blood_435,302.5
10-60,blood_440,540.0
10-61,blood_444,442.0
10-62,blood_448,224.5
10-63,blood_449,1325.5
10-64,blood_452,287.5
10-65,blood_455,623.0
10-66,blood_456,307.5
10-67,blood_457,562.0
10-68,blood_462,327.0
10-69,blood_464,894.5
10-70,blood_465,241.0
10-71,blood_468,426.0
10-72,blood_484,2299.0
10-73,blood_485,247.0
10-74,blood_486,472.5
10-75,blood_488,350.5
10-76,blood_489,350.5
10-77,blood_491,338.0
10-78,blood_493,459.5
10-79,blood_494,628.0
10-80,blood_496,179.0
10-81,blood_498,148.0
10-82,blood_499,827.5
10-83,blood_500,450.5
10-84,blood_503,427.0
10-85,blood_509,214.0
10-86,blood_514,538.0
10-87,blood_515,1882.0
10-88,blood_516,934.5
10-89,blood_518,1689.5
10-90,blood_522,2171.5
10-91,blood_523,532.5
10-92,blood_524,692.0
10-93,blood_525,215.0
10-94,blood_530,115.0
10-95,blood_531,160.0
10-96,blood_536,867.0
10-97,blood_547,1965.0
10-98,blood_548,261.5
10-99,blood_553,169.0
10-100,blood_554,642.0
10-101,blood_562,221.0
10-102,blood_564,7204.0
10-103,blood_565,424.0
10-104,blood_566,136.0
10-105,blood_570,218.5
10-106,blood_580,171.5
11-0,blood_327,1441.5
11-1,blood_333,18717.5
11-2,blood_335,136.0
11-3,blood_337,2063.5
11-4,blood_338,368.5
11-5,blood_341,1325.5
11-6,blood_344,4002.0
11-7,blood_347,2484.5
11-8,blood_348,376.5
11-9,blood_352,557.5
11-10,blood_353,2401.0
11-11,blood_354,554.0
11-12,blood_356,2752.5
11-13,blood_359,270.0
11-14,blood_360,8550.5
11-15,blood_362,2502.5
11-16,blood_366,364.5
11-17,blood_367,180.5
11-18,blood_372,358.0
11-19,blood_378,540.5
11-20,blood_379,389.5
11-21,blood_380,636.0
11-22,blood_382,4699.5
11-23,blood_383,374.0
11-24,blood_386,662.0
11-25,blood_387,601.0
11-26,blood_388,697.5
11-27,blood_390,333.5
11-28,blood_391,214.0
11-29,blood_392,396.5
11-30,blood_393,136.0
11-31,blood_399,722.0
11-32,blood_402,625.5
11-33,blood_403,1655.5
11-34,blood_405,190.0
11-35,blood_409,1298.0
11-36,blood_412,1898.5
11-37,blood_413,1394.5
11-38,blood_415,373.5
11-39,blood_417,255.5
11-40,blood_421,631.0
11-41,blood_423,597.5
11-42,blood_426,411.0
11-43,blood_429,136.0
11-44,blood_430,563.0
11-45,blood_431,727.0
11-46,blood_433,357.0
11-47,blood_434,464.5
11-48,blood_436,568.5
11-49,blood_438,325.0
11-50,blood_439,282.5
11-51,blood_441,281.0
11-52,blood_442,639.0
11-53,blood_447,262.0
11-54,blood_450,942.5
11-55,blood_454,252.0
11-56,blood_458,148.0
11-57,blood_463,1359.5
11-58,blood_466,284.5
11-59,blood_467,312.0
11-60,blood_469,353.0
11-61,blood_470,629.5
11-62,blood_471,136.0
11-63,blood_472,184.5
11-64,blood_474,402.0
11-65,blood_475,4287.0
11-66,blood_476,614.5
11-67,blood_478,646.0
11-68,blood_479,136.0
11-69,blood_480,1602.0
11-70,blood_490,1511.0
11-71,blood_492,454.0
11-72,blood_497,1301.0
11-73,blood_501,1543.0
11-74,blood_502,2502.5
11-75,blood_504,737.5
11-76,blood_505,280.0
11-77,blood_513,5753.0
11-78,blood_517,525.5
11-79,blood_520,1486.0
11-80,blood_521,313.5
11-81,blood_527,180.5
11-82,blood_528,468.5
11-83,blood_529,707.0
11-84,blood_537,841.0
11-85,blood_538,298.0
11-86,blood_541,231.5
11-87,blood_543,410.5
11-88,blood_544,474.5
11-89,blood_551,519.0
11-90,blood_552,397.0
11-91,blood_558,575.0
11-92,blood_559,291.0
11-93,blood_567,1660.0
11-94,blood_569,580.0
11-95,blood_574,244.0
11-96,blood_582,136.0
12-0,blood_885,17798.5
12-1,blood_919,790.5
12-2,blood_921,656.5
12-3,blood_924,136.0
12-4,blood_926,570.5
12-5,blood_927,2026.5
12-6,blood_928,156.0
12-7,blood_933,2001.0
12-8,blood_938,457.0
12-9,blood_950,174.0
12-10,blood_958,926.5
12-11,blood_966,211.5
12-12,blood_967,430.0
12-13,blood_969,358.0
12-14,blood_973,1208.0
12-15,blood_976,158.5
12-16,blood_978,598.0
12-17,blood_980,4938.0
12-18,blood_982,604.0
12-19,blood_983,363.5
12-20,blood_984,309.5
12-21,blood_985,365.0
12-22,blood_986,305.5
12-23,blood_987,540.0
12-24,blood_990,565.5
12-25,blood_991,254.0
12-26,blood_992,269.0
12-27,blood_997,1338.5
12-28,blood_1000,1760.0
12-29,blood_1001,643.0
12-30,blood_1002,783.0
12-31,blood_1003,492.5
12-32,blood_1004,811.5
12-33,blood_1007,1620.0
12-34,blood_1008,222.5
12-35,blood_1011,186.0
12-36,blood_1014,603.0
12-37,blood_1015,148.0
12-38,blood_1020,667.0
12-39,blood_1022,1968.5
12-40,blood_1024,533.0
12-41,blood_1029,637.5
12-42,blood_1034,713.5
12-43,blood_1035,1053.5
12-44,blood_1036,480.0
12-45,blood_1037,340.5
12-46,blood_1041,394.5
12-47,blood_1042,248.5
12-48,blood_1046,578.5
12-49,blood_1049,295.5
12-50,blood_1053,2500.5
12-51,blood_1056,364.0
12-52,blood_1059,136.0
12-53,blood_1060,985.0
12-54,blood_1061,443.0
12-55,blood_1062,539.5
12-56,blood_1063,306.0
12-57,blood_1064,612.0
12-58,blood_1068,896.5
12-59,blood_1069,343.0
12-60,blood_1070,346.5
12-61,blood_1071,2738.0
12-62,blood_1072,259.5
12-63,blood_1073,818.0
12-64,blood_1074,307.0
12-65,blood_1075,265.5
12-66,blood_1076,661.5
12-67,blood_1077,346.5
12-68,blood_1078,1056.5
12-69,blood_1079,252.5
12-70,blood_1080,194.0
12-71,blood_1081,252.5
12-72,blood_1082,1056.5
12-73,blood_1083,255.0
12-74,blood_1084,756.5
12-75,blood_1085,2051.5
12-76,blood_1086,1231.5
12-77,blood_1087,248.0
12-78,blood_1088,279.0
12-79,blood_1089,232.0
12-80,blood_1090,819.0
12-81,blood_1091,346.5
12-82,blood_1092,307.0
12-83,blood_1094,850.5
12-84,blood_1096,462.0
12-85,blood_1097,1070.0
12-86,blood_1098,268.5
12-87,blood_1099,264.5
12-88,blood_1100,295.0
12-89,blood_1101,263.0
12-90,blood_1102,1311.5
12-91,blood_1103,242.5
12-92,blood_1104,599.0
12-93,blood_1105,808.5
12-94,blood_1106,188.5
12-95,blood_1107,615.5
13-0,blood_819,8126.0
13-1,blood_826,273.0
13-2,blood_835,696.0
13-3,blood_837,309.0
13-4,blood_842,182.0
13-5,blood_847,136.0
13-6,blood_849,1071.5
13-7,blood_853,156.0
13-8,blood_856,695.5
13-9,blood_863,10703.5
13-10,blood_868,639.5
13-11,blood_869,358.0
13-12,blood_872,381.5
13-13,blood_875,447.0
13-14,blood_878,470.0
13-15,blood_884,1004.0
13-16,blood_887,714.5
13-17,blood_888,3560.0
13-18,blood_889,324.5
13-19,blood_890,291.5
13-20,blood_891,404.0
13-21,blood_898,2719.0
13-22,blood_900,365.5
13-23,blood_906,136.0
13-24,blood_907,715.0
13-25,blood_911,768.0
13-26,blood_912,280.0
13-27,blood_913,475.0
13-28,blood_914,266.0
13-29,blood_915,219.5
13-30,blood_916,1441.5
13-31,blood_918,241.5
13-32,blood_920,1529.5
13-33,blood_922,865.5
13-34,blood_935,454.5
13-35,blood_936,521.0
13-36,blood_940,541.5
13-37,blood_941,437.0
13-38,blood_942,207.5
13-39,blood_943,167.0
13-40,blood_944,871.5
13-41,blood_945,1048.5
13-42,blood_946,814.5
13-43,blood_947,215.0
13-44,blood_948,444.0
13-45,blood_949,372.0
13-46,blood_951,877.5
13-47,blood_952,1191.5
13-48,blood_954,842.0
13-49,blood_955,367.0
13-50,blood_957,535.5
13-51,blood_959,479.5
13-52,blood_960,156.0
13-53,blood_961,243.0
13-54,blood_962,357.5
13-55,blood_963,1006.5
13-56,blood_964,1056.0
13-57,blood_965,2459.5
13-58,blood_968,491.5
13-59,blood_970,598.5
13-60,blood_971,136.0
13-61,blood_972,411.0
13-62,blood_974,215.5
13-63,blood_975,1553.5
13-64,blood_977,275.5
13-65,blood_979,677.5
13-66,blood_988,988.0
13-67,blood_989,984.5
13-68,blood_993,1168.0
13-69,blood_994,273.5
13-70,blood_995,704.0
13-71,blood_996,1685.0
13-72,blood_998,246.0
13-73,blood_999,175.0
13-74,blood_1005,1012.0
13-75,blood_1006,370.0
13-76,blood_1009,602.5
13-77,blood_1010,6234.0
13-78,blood_1012,307.5
13-79,blood_1013,193.0
13-80,blood_1016,260.0
13-81,blood_1017,275.5
13-82,blood_1018,1348.5
13-83,blood_1019,801.5
13-84,blood_1021,929.5
13-85,blood_1023,224.0
13-86,blood_1025,128.0
13-87,blood_1026,384.0
13-88,blood_1027,421.5
13-89,blood_1028,305.0
13-90,blood_1030,477.0
13-91,blood_1031,871.0
13-92,blood_1032,1140.0
13-93,blood_1033,148.0
13-94,blood_1038,148.0
13-95,blood_1039,767.5
13-96,blood_1040,220.0
13-97,blood_1043,246.0
13-98,blood_1044,438.5
13-99,blood_1045,290.5
13-100,blood_1047,711.0
13-101,blood_1048,210.5
13-102,blood_1050,158.5
13-103,blood_1051,198.5
13-104,blood_1052,387.0
13-105,blood_1054,151.5
13-106,blood_1055,136.0
13-107,blood_1057,233.5
13-108,blood_1058,158.5
13-109,blood_1065,598.5
13-110,blood_1066,733.5
13-111,blood_1067,431.0
13-112,blood_1093,720.0
13-113,blood_1095,325.0
14-0,blood_750,812.0
14-1,blood_751,719.5
14-2,blood_762,236.5
14-3,blood_769,1518.5
14-4,blood_770,1097.0
14-5,blood_771,789.5
14-6,blood_772,853.0
14-7,blood_776,547.5
14-8,blood_779,434.0
14-9,blood_780,221.5
14-10,blood_781,408.0
14-11,blood_782,640.5
14-12,blood_785,669.5
14-13,blood_789,716.0
14-14,blood_791,308.5
14-15,blood_792,182.0
14-16,blood_794,169.0
14-17,blood_799,1714.0
14-18,blood_800,324.0
14-19,blood_801,1912.5
14-20,blood_802,367.0
14-21,blood_805,1998.5
14-22,blood_808,446.5
14-23,blood_809,136.0
14-24,blood_810,215.0
14-25,blood_811,803.5
14-26,blood_812,726.0
14-27,blood_814,192.0
14-28,blood_829,750.0
14-29,blood_831,274.0
14-30,blood_833,1463.0
14-31,blood_839,1245.5
14-32,blood_843,442.0
14-33,blood_844,397.5
14-34,blood_845,530.5
14-35,blood_846,610.5
14-36,blood_848,469.0
14-37,blood_854,494.0
14-38,blood_857,4665.0
14-39,blood_858,140.5
14-40,blood_860,158.5
14-41,blood_862,136.0
14-42,blood_864,333.0
14-43,blood_871,268.5
14-44,blood_876,273.5
14-45,blood_879,806.5
14-46,blood_880,1020.0
14-47,blood_883,326.5
14-48,blood_886,691.0
14-49,blood_892,3721.5
14-50,blood_893,456.0
14-51,blood_894,508.5
14-52,blood_895,135.0
14-53,blood_896,399.5
14-54,blood_897,472.5
14-55,blood_899,435.0
14-56,blood_902,413.5
14-57,blood_903,932.5
14-58,blood_904,203.0
14-59,blood_905,566.5
14-60,blood_908,450.0
14-61,blood_909,179.5
14-62,blood_917,2963.0
14-63,blood_923,439.0
14-64,blood_925,793.5
14-65,blood_929,158.5
14-66,blood_930,2764.5
14-67,blood_931,457.5
14-68,blood_932,826.0
14-69,blood_934,1603.0
14-70,blood_937,228.0
14-71,blood_939,194.5
14-72,blood_953,503.5
14-73,blood_956,366.5
15-0,blood_732,734.5
15-1,blood_733,802.5
15-2,blood_734,1960.5
15-3,blood_735,180.5
15-4,blood_736,1370.5
15-5,blood_737,535.0
15-6,blood_738,697.5
15-7,blood_739,930.5
15-8,blood_740,317.0
15-9,blood_741,382.0
15-10,blood_742,203.5
15-11,blood_743,107.0
15-12,blood_744,326.5
15-13,blood_745,335.5
15-14,blood_746,2100.5
15-15,blood_747,148.0
15-16,blood_748,520.0
15-17,blood_749,721.0
15-18,blood_752,702.5
15-19,blood_753,192.0
15-20,blood_754,301.5
15-21,blood_755,114.0
15-22,blood_756,740.0
15-23,blood_757,604.5
15-24,blood_758,148.0
15-25,blood_759,1659.0
15-26,blood_760,899.5
15-27,blood_761,365.0
15-28,blood_763,589.0
15-29,blood_764,293.5
15-30,blood_765,555.0
15-31,blood_766,1148.0
15-32,blood_767,1531.5
15-33,blood_768,675.5
15-34,blood_773,693.0
15-35,blood_774,623.0
